run_at,kind,subject,headline,top_code_share
2026-09-13T16:35:05,reject_rate_spike,Mounjaro 5 mg pen,Mounjaro 5 mg pen: rejections went from 15% to 63% (34 of 54 claims),1.0
2026-09-13T16:35:05,reject_rate_spike,Ozempic 1 mg pen,Ozempic 1 mg pen: rejections went from 17% to 62% (20 of 32 claims),1.0
2026-09-13T16:35:05,reject_rate_spike,Warfarin 5 mg tab,Warfarin 5 mg tab: rejections went from 7% to 26% (9 of 34 claims),0.44
2026-09-13T16:35:05,reject_rate_spike,Wegovy 0.5 mg pen,Wegovy 0.5 mg pen: rejections went from 14% to 57% (21 of 37 claims),1.0
2026-09-13T16:35:05,reject_code_mix_shift,reject code 75,Reject code 75 grew from 15% to 81% of all rejections,
2026-09-13T16:35:05,prescriber_volume_shift,Dr. E. Menon,Dr. E. Menon: 32.6 claims/day vs 11.3 normally (2.9x),
2026-09-13T16:35:05,new_drug,Zepbound 2.5 mg pen,"Zepbound 2.5 mg pen: 12 claims, never dispensed in the baseline period (7 rejected)",
2026-09-14T06:53:05,reject_rate_spike,Mounjaro 5 mg pen,Mounjaro 5 mg pen: rejections went from 15% to 63% (34 of 54 claims),1.0
2026-09-14T06:53:05,reject_rate_spike,Ozempic 1 mg pen,Ozempic 1 mg pen: rejections went from 17% to 62% (20 of 32 claims),1.0
2026-09-14T06:53:05,reject_rate_spike,Warfarin 5 mg tab,Warfarin 5 mg tab: rejections went from 7% to 26% (9 of 34 claims),0.44
2026-09-14T06:53:05,reject_rate_spike,Wegovy 0.5 mg pen,Wegovy 0.5 mg pen: rejections went from 14% to 57% (21 of 37 claims),1.0
2026-09-14T06:53:05,reject_code_mix_shift,reject code 75,Reject code 75 grew from 15% to 81% of all rejections,
2026-09-14T06:53:05,prescriber_volume_shift,Dr. E. Menon,Dr. E. Menon: 32.6 claims/day vs 11.3 normally (2.9x),
2026-09-14T06:53:05,new_drug,Zepbound 2.5 mg pen,"Zepbound 2.5 mg pen: 12 claims, never dispensed in the baseline period (7 rejected)",
